review_text,rating,review_date,thumbs_up
nhiều khi mua được rất nhiều thứ mà mình cần với giá rẻ mà có chất lượng nữa thế thì còn gì bằng,5,2026-05-10 13:39:30,0
Shipper chưa gọi giao đơn mà báo hàng bị từ chối nhận (ko 1 cuộc điện thoại) nhảm vc,1,2026-05-10 13:17:53,0
okay,5,2026-05-10 13:07:59,0
ok á,5,2026-05-10 13:06:44,0
rất hay,5,2026-05-10 13:01:25,0
tuyệt,5,2026-05-10 12:57:54,1
giá tốt giao hàng đúng thời gian,5,2026-05-10 12:56:31,0
Tự động gia hạn mà không hỏi ý kiến khách hàng khiếu nại thờ ơ không tôn trọng tí nào cả tốt nhất không nên đăng ký Shoppe vip chả thấy ưu đãi gì hơn tài khoản thường,1,2026-05-10 12:54:01,0
2 đơn rồi.ở chỗ tôi 1 tuần mà chả đi giao. mua nốt lần này bỏ shopee luôn. qua mua titok gia hàng nhanh,1,2026-05-10 12:53:26,0
Tốt nhưng đôi lúc shop giao hàng không đúng sản phẩm mua,5,2026-05-10 12:50:12,0
giao hàng chậm,1,2026-05-10 12:37:21,0
mua sắm ok,5,2026-05-10 12:34:58,0
"Shoppe block nhận xu của mình, nhắn tin cho cskh nói lí do bí mật :)))) làm bộ nói sẽ sớm giải quyết sợ mít lòng",1,2026-05-10 12:14:36,1
k cho sài mã,1,2026-05-10 12:14:11,0
"xu hướng bây giờ là mua sắm online. với ứng dụng này khá tiện lợi khi mua sắm. tuy nhiên các mặt hàng cần được kiểm định kỹ càng trước khi cho bày bán trên ứng dụng. điều này giúp người tiêu dùng yên tâm hơn khi mua sắm. tránh trường hợp các shop đưa hàng nhái, hàng giả, hàng kém chất lượng lên bán, làm ành hưởng cho khách hàng và độ uy tín của ứng dụng",5,2026-05-10 11:57:03,0
đc,3,2026-05-10 11:53:45,0
ghép đơn đồ ăn tận 1 tiếng???,1,2026-05-10 11:52:26,0
Tốt,5,2026-05-10 11:37:40,0
hàng rẻ chất lượng giao hành nhanh,5,2026-05-10 11:33:02,0
"Vào ứng dụng chậm, không lấy được xu",1,2026-05-10 11:25:44,0
"tệ , lừa đảo",1,2026-05-10 11:20:09,1
"Đặt shopeefood lúc 17h03, tới 17h40 hủy đơn, ko có lí do gì luôn, chỉ ghi ""giao dịch hoàn tiền đang được xử lí"". Tìm trong mục hỗ trợ thì mới thấy từ 7-30 ngày, lừa đảo à, ""đang"" trong 30 ngày? Mà giấu giấu, ko viết rõ đâu, phải tự mò tự tìm mới thấy. Dịch vụ tệ, hỗ trợ tệ, chính sách tệ, app tệ, cái gì cũng tệ, 1* là còn hơi cao rồi đó",1,2026-05-10 10:54:28,0
"app l , đặt đơn cứ bị hủy đơn ,săn phiếu giảm giá lòi L xong thanh toán cứ hủy mất mẹ phiếu giảm giá ngu l",5,2026-05-10 10:48:40,0
nhôn cái lừ 🥵🥵😾🥵😾,5,2026-05-10 10:46:41,0
quảng cáo dài quá:((,2,2026-05-10 10:44:46,0
"tại sao tôi ko đặt đc hàng hả, tại sao tôi lại còn cần phải xác định số điện thoại mới hả tôi không có số điện thoại mới ok sống còn không đặt được hàng nữa thế là thế nào hả hả, giải thích cho tôi biết nhanh không tôi phốt đấy",1,2026-05-10 10:43:35,0
"Cần sửa ngay phần mềm trên điện thoại, vì khi chọn xem 1 sản phẩm tên dài (dưới ảnh) sẽ không làm cách nào để xem đc đầy đủ nội dung.",4,2026-05-10 10:42:24,0
ok,5,2026-05-10 10:27:11,0
"tự động hủy đơn hàng, đơn 0đ thì ship lâu cứ delay mãi",1,2026-05-10 10:11:08,0
quảng cáo hoài,1,2026-05-10 10:06:11,0
rất tiện lợi,5,2026-05-10 09:56:51,0
giao đúng hẹn đáng tin cậy,5,2026-05-10 09:55:58,0
rất hay bị lỗi đặc hàng không được Lỗi MO2 gì đó,1,2026-05-10 09:44:39,0
siper giáo hàng rất nhanh 🥰🥰🥰,5,2026-05-10 09:32:25,0
thật sự là khó chịu máy cái video khảy mông uống éo quá đi trước kia làm gì có giờ thì công khai luôn,1,2026-05-10 09:25:09,83
Giáo hang nhanh,5,2026-05-10 09:21:33,0
hàng dung tot rat rat tot mong se duoc hop tac lau dai voi shop cung cac san pham tot khac de ngay cang trai nghiem duoc nhiều hon.,5,2026-05-10 09:19:30,0
vướng,1,2026-05-10 09:18:01,0
giao hơi lâu,5,2026-05-10 09:17:55,0
Dùng okee nha,5,2026-05-10 09:16:52,0
tới ngày giao hàng rồi mà vẫn chưa nhận được? không thích thì báo 1 tiếng,1,2026-05-10 09:16:35,0
không cho hủy đơn hàng,1,2026-05-10 09:14:48,0
👍,5,2026-05-10 09:12:10,0
"càng ngày càng như cut,luôn theo dõi và ghi âm đc tiếng nói phiền vô cùng",1,2026-05-10 09:11:50,1
nên tối giản app,1,2026-05-10 09:07:14,0
Tốt!,5,2026-05-10 09:01:37,0
"mới sử dụng lần đầu ,nên chưa biết cách sử dụng",5,2026-05-10 08:59:42,0
rất tốt,5,2026-05-10 08:55:24,0
gửi 1 ngày chục cái thông báo rác,2,2026-05-10 08:52:17,0
"T sẽ không bao giờ đặt sàn cam nữa, đặt mà không giao, rồi tự hoàn hàng về nữa , cần phải cải thiện hơn",1,2026-05-10 08:51:00,5
shoppee cứ tự hủy đơn của tôi mặc dù vẫn còn hàng và í kiến lại thì kh phản hồi,1,2026-05-10 08:43:48,0
"Đăng kí tài khoản mới rồi đặt đơn, trong khi đơn đang về thì khoá acc kêu vi phạm lỗi liên kết gmail trong khi acc không cả liên kết gmail. chịu thật",1,2026-05-10 08:43:19,1
"Dịch vụ kém. hàng mua thì được, hàng lỗi báo trả hàng không ai liên hệ hay qua lấy, toàn báo ko liên lạc được, không một nhân viên nào gọi hướng dẫn khách hàng.",1,2026-05-10 08:32:39,1
tốt,3,2026-05-10 08:31:53,0
khá ok,5,2026-05-10 08:28:05,0
ok,5,2026-05-10 08:26:22,0
đơn ko đồng shipre ko giám giao,1,2026-05-10 08:25:39,0
có đơn tự hủy tự hủy ko hiểu lí do,2,2026-05-10 08:19:44,0
ok.,5,2026-05-10 08:18:07,0
rất tốt,5,2026-05-10 08:15:53,0
hài lòng vì có rất nhiều voucher giảm giá free ship được trả hàng khi hàng lỗi 1 cách dễ dàng dễ làm nên an tâm mua hàng có các phiên live giá chấn động tóm lại giờ mua hàng trên shopee thích hơn ngày xưa nhiều á .,5,2026-05-10 08:15:36,0
mới tạo tk cũng bị khóa,1,2026-05-10 08:09:25,0
"shopee giao hàng nhanh, thích chính sách đổi trả tránh mẫu kiểu này giao kiểu khác",5,2026-05-10 08:04:32,0
ok,5,2026-05-10 08:02:00,0
shipper điện từ 1 giờ đến 3 giờ vẫn chưa giao đơn đến kho là kẹt mất 2 ngày mới đi tiếp,3,2026-05-10 08:00:31,0
Rất hài lòng,5,2026-05-10 08:00:09,0
được,4,2026-05-10 07:45:40,0
"tự nhiên bị f02, lập acc mới cũng không đặt được khóa acc luôn mất mấy số điện thoại của tao",1,2026-05-10 07:42:54,0
"app l đang chơi free fire tự nhiên thông báo xong t lỡ bấm vô thông báo thế là thoát game luôn,lúc vô lại thua cmn rồi",1,2026-05-10 07:27:00,0
mua hàng hẹn 7 tháng 5 mà chưa thấy hàng mà nay là 10 tháng 5 chờ ko thấy dao hàng,1,2026-05-10 07:26:58,0
shipper giao hàng hơi lâu,4,2026-05-10 07:16:01,0
mua lại hủy hàng của ngta lại ko cho lưu mã,1,2026-05-10 07:07:30,0
giá cả ổn định.,5,2026-05-10 07:05:34,0
tot,5,2026-05-10 07:02:00,0
tiện,5,2026-05-10 06:57:49,0
hy hữu vuỵ,1,2026-05-10 06:54:14,0
tải quá chậm,3,2026-05-10 06:53:43,0
qua tuyet voi ug ho them lan sau,5,2026-05-10 06:49:33,0
ủy tín,4,2026-05-10 06:34:49,0
mà hơi đắt,4,2026-05-10 06:32:31,0
Không mua hàng được,1,2026-05-10 06:31:50,0
mua toàn đồ tốt,5,2026-05-10 06:28:17,0
hay quá,5,2026-05-10 06:25:36,0
tốt hay đặt đồ giao nhanh,5,2026-05-10 06:23:19,0
"không thích shoppe chút nào. đặt hàng mà giao lâu cực kỳ, tiktok siêu lẹ luôn á. cái này đợi gần cả tháng đặt hàng gì mà theo dõi đơn hàng thấy nó vẫn ở yên một chỗ ngày qua ngày. nói chung không thích đang cần gấp mà nó giao lâu rất ghét điều đó 😡🤬",2,2026-05-10 06:21:55,0
100 điểm 😗😗😗,5,2026-05-10 06:20:24,0
ok,5,2026-05-10 06:17:37,0
"Đặt đơn nào cũng giao siêu lâu còn thua tiktok. tik tok giao còn lẹ hơn cái này. đơn nào cũng phải đợi gần mấy tuần khó chịu vô cùng. mong shopee biết giao lẹ hơn người ta cần gấp mà giao lâu cực. giờ tôi có đơn còn chưa giao nè, tức 😡😡",2,2026-05-10 06:16:49,0
tôi chưa đặt hàng,3,2026-05-10 06:15:34,0
được,5,2026-05-10 06:13:48,0
"lầy loại 80wsốp gửi loại 60w , chất lượng dùng mới biết được",4,2026-05-10 06:12:36,0
"nổi điên, đơn đã đến trạm giao hàng vào sáng sớm cả ngày ko đi giao đợi qua ngày mới đi giao là sao, sao cứ bắt chờ thêm 1 ngày vậy không làm đc thì đổi người đi đừng bắt ngta chờ",1,2026-05-10 06:11:39,1
tốt,5,2026-05-10 06:05:59,0
"đặt hàng cứ bắt nhập sdt mới, nhập xong thì nói sdt ko dcc",3,2026-05-10 05:51:28,0
trả hàng dể dàng,5,2026-05-10 05:49:47,0
ok,5,2026-05-10 05:46:21,0
app xịn sò con bò,5,2026-05-10 05:41:08,1
rất ok,4,2026-05-10 05:36:18,0
mua đợi lâu đến sáng nay mới phát hiện đơn hàng tự hủy 2 món luôn mà,1,2026-05-10 05:26:27,0
có ai mua hàng nó đã gần về đến nhà rồi thì bảo có giao dịch bất thường tự hủy . Hủy cái mẹ j có ai làm j đâu tiền còn chx trả mà bảo giao dịch bất thường . Mua đồ còn chưa xác nhận đã tự hủy rồi ko bt còn mua đc j nữa ko chứ thấy cái kiểu này thì cx chịu r đấy,1,2026-05-10 05:24:04,1
k thấy ship gọi mà đã giao hàng thành công,1,2026-05-10 05:15:57,0
Sàn cầm lắm lúc bị sao ý t mới tạo ACC cho voucher 80k mà cứ ghi lỗi M02/D02 hơi khó chệu nhòa =(((,5,2026-05-10 05:13:34,0
Shop lỗi ag ko vô đc,1,2026-05-10 05:12:05,0
không thể tắt được tính năng thông báo rất phiền nhiễu nên phải gỡ cả ứng dụng luôn,2,2026-05-10 05:08:16,0
"Tệ quá đi, cập nhật lại địa chỉ , phường Mỹ Trà rộng lắm, mà đòi sửa lại phường Mỹ Phú cũ là sao nữa trời, THIẾT LẬP LẠI PHƯỜNG Cao Lãnh, phường Mỹ Trà,..... phường khác rồi, xã khác thôi 😌😌😌😤😤😤😤😤😤😤chứ có cái nào là phường Mỹ Phú đâu trời 😓😓😓😓😓😓😓🤷🤷🤷🤷🤷🤷🤷🤷🤷🤷 Khó hiểu thật, cập nhật lại địa chỉ cho shipper giùm cái đi, hay mấy shipper ko giao xa, hoặc ko biết đường đi🤨🤨 chắc cho từng khu vực cho dễ ship",2,2026-05-10 04:45:25,0
"sản phẩm uy tín,giá hợp lý,được miễn phí vận chuyển.Tiện lợi k mất thời gian đi mua sắm",5,2026-05-10 04:44:40,0
Shoppee thì có gì phải chê. ok mà,5,2026-05-10 04:38:28,0
good,5,2026-05-10 04:28:43,0
"tôi có tài khoản mới dùng thường sẻ được app mã voucher cho khách hàng mới, thế mà voucher tôi hk dùng đc cứ kêu bị lỗi, đề nghị là sửa ngay cái lỗi đó tôi còn đặt hàng, tất cả các mã hay voucher hk dùng được cái nào, còn tự ý hủy đơn nữa chứ",1,2026-05-10 04:17:42,1
như l,5,2026-05-10 04:13:16,0
"Chất lượng kém, ship phát biểu ngu.",1,2026-05-10 04:10:03,0
Tôi ghét quảng cáo shopee😎🌹,1,2026-05-10 04:07:25,0
"quá tệ,rõ ràng chưa mua đơn gì mà vừa mới xác thực số điện thoại đã không áp được voucher cho người mới,quá thất vọng",1,2026-05-10 03:59:07,0
"Đặt hàng xong nhưng không giao hàng rồi hủy đơn của khách, vậy đăng bán làm gì",1,2026-05-10 03:54:37,0
Chi phí vận chuyển quá cao.,3,2026-05-10 03:53:03,0
"phải mua gói vip mới có lý do trả hàng là không còn nhu cầu là không hợp lý, vì đôi khi sản phẩm có 1 số khuyết điểm nhỏ không đáng để phản ánh thì đó là lý do",1,2026-05-10 03:52:32,1
Ok nó rất hay,5,2026-05-10 03:46:48,0
"Shope tự ý hủy đơn hàng, quá là mất thời gian",1,2026-05-10 03:35:52,0
Shopee rất là nhiệt tình và tặng tình,5,2026-05-10 03:35:35,0
quá ok luôn,5,2026-05-10 03:29:31,0
chuẩn,5,2026-05-10 03:21:08,0
mua sắm online giá rẻ tốt bền,3,2026-05-10 03:16:05,0
tuyệt vời,5,2026-05-10 03:15:10,0
đặt gì mà ko được áp được mÁ,1,2026-05-10 03:09:43,0
shopper là chợ online đầy đủ các loại hàng mọi người cần chỉ chợ online shopper là có hết cảm ơn đã có shopper chợ online không thiếu một thứ gì nếu cần đều có đủ mọi mặt hàng,5,2026-05-10 03:09:10,1
shoppe làm ăn giờ chán quá giao lâu hàng về còn bị móp méo,1,2026-05-10 03:02:36,0
tốt,5,2026-05-10 02:53:34,0
hàng không như trên hình,4,2026-05-10 02:43:37,0
"quảng cáo nhiều, quảng cáo trên mọi mặt trận game đâu cũng thấy bấm nhẹ vào là cứ vào shoppe rất phiền, chơi game cũng rất ức chế",1,2026-05-10 02:42:39,0
"Bị chôm chỉa video reup lên shopeevideo, và shopee bao che cho điều đó.",1,2026-05-10 02:28:54,0
tốt..shopee mang tới tiện lợi cho người mua hàng cũng như người bán hàng...cảm ơn shopee..❤️❤️❤️❤️,5,2026-05-10 02:09:57,0
đồ rất đẹp,5,2026-05-10 02:01:35,0
"tạo dc acc mới để mua đồ dc mừng húm, vào đặt hàng thì đặt k dc bảo ưu đãi này k thể áp dụng cho tài khoản của bạn, k cho mua thì nói đi cần gì phải thế?",1,2026-05-10 01:47:48,0
app như lol đell trả đc hàng,1,2026-05-10 01:25:01,0
ok á,5,2026-05-10 01:21:09,0
nó rò,5,2026-05-10 01:20:51,0
5 sao,5,2026-05-10 01:18:01,0
ok,5,2026-05-10 01:16:57,0
có🦴,4,2026-05-10 01:05:21,0
tốt và rất hay,5,2026-05-10 00:53:47,0
đây đúng là một Công nghệ tốt,5,2026-05-10 00:51:18,0
rất tốt,5,2026-05-10 00:49:49,1
tôi thấy shopee tuyệt vời,5,2026-05-10 00:35:36,0
sản phẩm tốt kích cỡ đúng. nhưng mong shop làm thêm sản phẩm sz L nưa,5,2026-05-09 23:58:23,0
cx đc,5,2026-05-09 23:50:15,0
"tìm kiếm mua sản phẩm dễ dàng, mặt hàng khâ đầy đủ, hoàn tiền dễ dàng",5,2026-05-09 23:49:02,0
xài quá tốt quá ok và khóa ưu đãi nhiều ưu đãi đến bước mà tôi còn phải ngã đầu,5,2026-05-09 23:33:41,0
"tụi mày bị cái quần què gì vậy, đặt mua điện thoại mà cứ tự động hủy đơn hàng của người mua",1,2026-05-09 23:20:08,0
ok,5,2026-05-09 23:17:08,0
"Shopee chỉ dc cái nhận xu, hoàn toàn k bảo vệ người mua. mọi người cân nhắc kỹ trc khi mua. người bán giao sai hàng mà Shopee đứng về phía người bán đó.",1,2026-05-09 23:13:03,1
đồ siêu rẻ + cho nhiều vé giảm giá nói chung là tuyệt vời,5,2026-05-09 23:02:11,0
toàn m02 trong khi lần đầu mua🥲,1,2026-05-09 22:21:24,0
có cái địa chỉ nhận hàng mà xác nhận 8 tiếng k được.,1,2026-05-09 22:06:35,0
hàng ok giá lại hợp lý,5,2026-05-09 21:48:09,0
ổn,5,2026-05-09 21:39:03,0
Đơn hàng đã bị hủy vì có hành vi giao dịch bất thường. tày rồi tày rồi,1,2026-05-09 20:23:51,0
nhiều khuyến mãi,5,2026-05-09 20:02:41,0
"toàn nâng giá lên rồi cho voucher giảm giá như đúng rồi, link shopee thì giờ ai cũng gắn khắp nơi. rác vcl sập như trước đi",1,2026-05-09 17:47:25,0
Sử dụng loại quảng cáo mất dại giống lazada ngày xưa,1,2026-05-09 15:48:52,0
shoppee .là nơi mua sắm tin cậy. uy tín rẻ mà chất lượng.,5,2026-05-09 14:44:56,0
thật là tuyệt vờ với cái ứng dụng này,5,2026-05-09 14:34:24,1
tệ,1,2026-05-09 14:29:49,0
"Dmmmmmm đang đọc truyện cứ chuyển sang link shopee, phải chó ko mà c j CX có dấu răng hả, nói t nghe.",1,2026-05-09 14:24:49,0
hay bị lỗi,1,2026-05-09 14:06:28,0
dao nhanh rẻ,5,2026-05-09 13:50:00,0
mong đc shoppe cho voucher giảm 1m mua phím vs chuột,5,2026-05-09 13:20:32,0
Quảng cáo qúa nhiều,1,2026-05-09 13:17:37,0
đơn hàng về bưu cục. giam 3 ngày không giao,1,2026-05-09 13:13:16,1
day more kenh mua sam toi Thich,3,2026-05-09 13:06:39,0
"liên kết tài khoản,hoàn tiền hàng khó chịu.",1,2026-05-09 13:01:32,0
tốt,5,2026-05-09 12:55:45,0
ok,5,2026-05-09 12:47:03,0
Toàn hàng lởm. Rất ít hàng chuẩn.,1,2026-05-09 12:41:02,0
ok,5,2026-05-09 12:37:23,0
dịch vụ giao hàng tệ rất là lâu con AI hỗ trợ có như không có,1,2026-05-09 12:25:35,0
"tôi sẽ đánh giá 5 sao,nhưng số lượng quảng cáo đã trừ số sao còn lại",1,2026-05-09 12:17:56,0
100đ ko có nhưng,5,2026-05-09 12:13:53,0
nhiều voucher giá rẻ,5,2026-05-09 12:11:23,0
mua rất uy tín.giá cả hạt rẻ😍😍💯💯,5,2026-05-09 12:04:34,0
vẫn còn giá trên trời vậy hả làm ăn sống nhăn vậy trời,1,2026-05-09 11:58:19,2
tốt,5,2026-05-09 11:44:09,0
"quá tệ cho viện hoàn hàng trả hàng, hơn 1 tuần rồi kg thấy nv đến lấy hàng",1,2026-05-09 10:51:49,0
ok,5,2026-05-09 10:49:59,1
"Shop uy Tín, chất lượng",5,2026-05-09 10:37:23,0
Giao hàng không đúng ngày đặt đơn 5-6 ngày chưa giao trước giờ jh bị giờ bị né từ đây tới cuối dời,1,2026-05-09 10:36:34,0
ko cho đặt 0đ,1,2026-05-09 10:35:49,0
không gọi rồi tự hủy đơn hàng,1,2026-05-09 10:35:43,0
rất ok nga,5,2026-05-09 10:32:19,0
"rất không hài lòng, người mới đặt hàng lần đầu áp voucher người mới, đặt xong tự hủy kêu giao dịch bất thường? lấy luôn voucher, chịu thật, có số mới thì tk mới thôi, có vậy thôi á hả. App làm mình thấy thất vọng, xóa app cho lành.",1,2026-05-09 10:31:02,0
"Xử lý yêu cầu rất lâu ( tôi đặt nhầm hàng và hủy đơn, shopee mất 3 ngày để xử lý yêu cầu của tôi và rồi sau ba ngày ấy thì shopee hủy yêu cầu của tôi và tiếp tục giao hàng ngay ngày hôm sau, nếu vẫn tiếp tục giao hàng thì đáng ra phải hủy yêu cầu của tôi từ sớm hơn chứ không phải là xử lý yêu cầu lâu xong rồi giao hàng đột ngột như thế tồi tệ)",1,2026-05-09 10:30:42,1
ko mua hàng đc,5,2026-05-09 10:20:47,16
liên kết ngân hàng thì vì lí do bảo mật ko liên kết được còn cái gợi ý toàn ba cái đồ nhạy cảm ko,1,2026-05-09 10:17:08,1
OK,5,2026-05-09 10:08:11,0
Không chăm sóc khách hàng gì cả,1,2026-05-09 10:01:42,0
mã giảm giá điêu,1,2026-05-09 09:51:16,0
"mới cài đặt về cần phải đăng ký nhì nhằng tài khoản bắt chụp cccd mới mua được hàng , xoá ứng dụng ngay không bao giờ tải nữa",1,2026-05-09 09:35:28,1
scam voucher ko trả ko hủy mà nó tự hủy 😡😡😡😡😡😡😭😭😭😭😭😭😡😡😡😡😡😡😭😭😭😭🥀🥀🥀🥀🥀💀💀💀💀💀🫩🫩🫩🫩🫩🫩😱😱😱😱😱😱😭😭😭😭😑😑😑😑😑😐😐😐😐😐😶😶😶😶😶😶😶😶🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,2026-05-09 09:28:00,0
giáo hàng không có hàng,1,2026-05-09 09:24:35,0
Thấy tiền giao hàng hơi đắt,2,2026-05-09 09:21:58,0
ok,5,2026-05-09 09:07:36,0
"tôi áp voucher giảm giá xong đặt đơn mà bị shopee tự động hủy đơn với lý do: vì có giao dịch bất thường 🥰??? ủa trời, voucher thì để lên làm chi rồi không cho người ta dùng xong đi tự ý hủy đơn của khách????????. Ko cho khách hàng dùng thì đừng có thả voucher ra🥰, shopee l",1,2026-05-09 09:01:11,0
bớt khó chịu,4,2026-05-09 08:41:13,6
Giá rẻ lại còn hời,5,2026-05-09 08:34:28,0
tốt,5,2026-05-09 08:04:47,0
rất hữu dụng khi cần mua hàng online,5,2026-05-09 08:01:04,0
tuyệt vời,5,2026-05-09 07:50:41,0
Làm ăn chả ra thể thống gì. Không tôn trọng khách hàng,1,2026-05-09 07:43:05,0
nó rất tốt,5,2026-05-09 07:07:24,0
đặt hàng bị tự hủy kêu có hành vi giao dịch bất thường và bị nhiều lỗi,1,2026-05-09 07:04:14,0
cũng cũng vậy,4,2026-05-09 06:49:36,0
OK,5,2026-05-09 06:26:01,0
giá cả phải chăng dễ dàng mua sắm,5,2026-05-09 06:19:54,0
"Trong phần hoàn hàng không thể đăng tải bằng chứng ,xong không cho hủy đơn . Chăm.sóc khách hàng mình yêu cầu thì nó cứ lắp thì lắp lại mấy câu nói ấy .Chịu luôg á",2,2026-05-09 06:11:05,0
đc,5,2026-05-09 06:09:40,0
giải quyết vấn đề rất là chậm,1,2026-05-09 05:52:05,0
giao hàng tận nơi miễn phí mà còn được giao hàng nhanh chóng.,5,2026-05-09 05:46:08,0
càng ngày càng tê,1,2026-05-09 05:38:43,0
toàn hàng đểu,2,2026-05-09 05:37:51,0
"Lừa đảo người dùng, tung ra voucher để kêu gọi ngưòi dùng đăng ký spaylater xong hủy đơn",1,2026-05-09 05:33:04,0
chín sách trả hàng siêu tệ eeeeeeeeeeeeeeee,1,2026-05-09 05:30:54,1
thà dùng tiktok đặt cho lẹ :Đ,1,2026-05-09 05:27:51,0
dịch vụ tốt nhất hiện nay,5,2026-05-09 05:27:13,0
ok,5,2026-05-09 05:23:55,0
ok ok,5,2026-05-09 05:20:13,1
Sao tui ít voucher 50 đổ lại v toàn trên100 200 ko chán v,2,2026-05-09 05:19:29,1
ko. hư thế như mơi,5,2026-05-09 05:10:26,0
có voucher nhưng khi đặt thì báo lỗi,1,2026-05-09 05:04:03,1
ok,5,2026-05-09 04:56:10,0
