review_text,rating,review_date,thumbs_up,risk_label,clean_text
"Có đánh giá - ☆ chắc phải âm cả chục , vào app thì ko vào trang chủ , cứ vào live với video , mua hàng thì không cho áp voucher , nâng cấp kiểu đếch gì vào phần thông báo thì ngơ ngơ",1,2026-05-15 02:34:23,38,1,có đánh_giá chắc phải âm cả chục vào app thì ko vào trang_chủ cứ vào live với video mua hàng thì không cho áp_voucher nâng_cấp kiểu đếch gì vào phần thông_báo thì ngơ_ngơ
"đa số hình ảnh,video của sản phẩm khác,to rõ, sau khi bấm vào đặt hàng lại ra đồ chất lượng thấp, hình ảnh rất bé, gây hiểu lầm",1,2026-05-14 08:53:22,9,1,đa_số hình_ảnh video của sản_phẩm khác to rõ sau khi bấm vào đặt_hàng lại ra đồ chất_lượng thấp hình_ảnh rất bé gây hiểu lầm
"Đã nửa tháng loay hoay vẫn không thể xác minh tài khoản, tự dưng bắt xác minh trong khi lâu nay vẫn đang mua đơn thanh toán qua tài khoản bình thường. kiếm phần liên lạc đến đội ngũ cũng không thấy :v",1,2026-05-13 07:43:38,1,1,đã nửa tháng loay_hoay vẫn không_thể xác_minh tài_khoản tự_dưng bắt xác_minh trong khi lâu_nay vẫn đang mua đơn thanh_toán qua tài_khoản bình_thường kiếm phần liên_lạc đến đội_ngũ cũng không thấy v
"app lỗi, quản lý điều hành chính sách rất tệ, khách hàng mua áp mã giảm thì hủy đơn, lý do thì lỗi do shop bán hàng vậy thì sao không cấm người bán hàng hoặc cấm áp dụng mã giảm trên sản phẩm của shop đó đi mà lại đợi khách mua rồi hủy đơn làm ảnh hưởng đến khách mua hàng vậy",1,2026-05-15 08:55:07,0,1,app lỗi quản_lý điều_hành chính_sách rất tệ khách_hàng mua áp_mã giảm thì hủy đơn lý_do thì lỗi do shop bán hàng vậy thì sao không cấm người bán hàng hoặc cấm áp_dụng mã_giảm trên sản_phẩm của shop đó đi mà_lại đợi khách mua rồi hủy đơn làm ảnh_hưởng đến khách mua hàng vậy
"có voucher vip nhưng không bao giờ xài được lúc nào cũng báo lỗi, từ lúc mới có tới lúc hết mã, bày đặt hiện ""lựa chọn tốt nhất""",1,2026-05-14 16:56:08,1,1,có voucher vip nhưng không bao_giờ xài được lúc_nào cũng báo lỗi từ lúc mới có tới lúc hết_mã bày_đặt hiện lựa_chọn tốt nhất
"mua hàng chú ý ,đánh gia 5 sao toàn là ảo thôi , shopee càng ngày càng nhiều đội bán hàng giả và kém chât lượng",1,2026-05-14 11:56:20,1,1,mua hàng chú_ý đánh_gia 5 sao toàn là ảo thôi shopee càng_ngày_càng nhiều đội bán hàng giả và kém chât lượng
"trước đây mua rất nhiều bên shopee, giao hàng nhanh, về sau gần đặt hàng cũng không có, toàn tự hủy đơn hàng, mất thời gian chờ đợi, cũng chẳng có chỗ phản ánh, chuyển mua tiktok cho nhanh",2,2026-05-13 10:48:24,1,1,trước_đây mua rất nhiều bên shopee giao hàng nhanh về sau gần đặt_hàng cũng không có toàn tự hủy đơn hàng mất thời_gian chờ_đợi cũng chẳng có chỗ phản_ánh chuyển mua tiktok cho nhanh
mở ứng dụng là tự động vào tab live&video xem hay không là quyền chủ động của người dùng chứ đây là cái sàn thương mại chứ không phải tiktok tiếc là 1* là tệ nhất rồi cái này xứng đáng âm sao luôn đó,1,2026-05-15 00:41:26,0,1,mở ứng_dụng là tự_động vào tab live video xem hay không là quyền chủ_động của người dùng chứ đây là cái sàn thương_mại chứ không phải tiktok tiếc là 1 là tệ nhất rồi cái này xứng_đáng âm_sao luôn đó
"Trả hàng xong không hoàn tiền vì lí do trả hàng không đúng hạn. Trả hàng hôm 1/7, đến 5/7 thì bị hủy khiếu nại vì lí do trả hàng không đúng hạn. Mà là do 1/7 shipper mới đến lấy hàng :))). Quá chán dịch vụ của shopee. cập nhật: vấn đề hoàn toàn không được giải quyết nhé, số tiền cũng không được hoàn, chính sách cskh quá tệ. bonus hệ sinh thái shopee food và shopee pay đều VÔ CÙNG TỆ.",1,2026-05-13 14:19:38,2,1,trả hàng xong không hoàn_tiền vì lí_do trả hàng_không đúng hạn trả hàng hôm 1 7 đến 5 7 thì bị hủy khiếu_nại vì lí_do trả hàng_không đúng hạn mà là do 1 7 shipper mới đến lấy hàng quá chán dịch_vụ của shopee cập_nhật vấn_đề hoàn_toàn không được giải_quyết nhé số tiền cũng không được hoàn chính_sách cskh quá tệ bonus hệ_sinh_thái shopee food và shopee pay đều vô_cùng tệ
tôi mua hàng bên shopee mà không giao mà shipper không gọi cho mình đã vậy còn bị hoàn về shop nữa có ai mua đồ bên shopee thì nên né ra dùm mình nha lừa đảo đó,1,2026-05-13 23:57:02,0,1,tôi mua hàng bên shopee mà không giao mà shipper không gọi cho mình đã vậy còn bị hoàn về shop nữa có ai mua đồ bên shopee thì nên né ra dùm mình nha lừa_đảo đó
chèn quản cáo quá nhiều cho dù nhấn X vẫn đưa qua ứng dụng thể hiện bằng thực lực đi quá phiền,1,2026-05-13 22:03:55,0,1,chèn quản_cáo quá nhiều cho_dù nhấn x vẫn đưa qua ứng_dụng thể_hiện bằng thực_lực đi quá phiền
tạo tài khoản mà k dùng đc mã voucher lúc nào cũng v có cái ac thì k bao giờ hủy đơn đc với k nhận xu đc,1,2026-05-14 18:37:50,1,1,tạo tài_khoản mà k dùng đc_mã voucher lúc_nào cũng v có cái ac thì k bao_giờ hủy đơn_đc với k nhận xu đc
"Tụi Shopee và ShopeeFood làm ăn rất láo, cấu kết với nhau lừa đảo chiếm đoạt giá trị hàng ngàn đơn hàng. Bị khiếu nại thì hứa hẹn hoàn tiền nhưng cố tình kéo dài thời gian cho khách hàng nản để không phải hoàn. Làm lộ thông tin cá nhân khách hàng, spam OTP và gọi điện quấy nhiễu khách",1,2026-05-13 07:18:29,1,1,tụi shopee và shopeefood làm_ăn rất láo_cấu_kết với nhau lừa_đảo chiếm_đoạt giá_trị hàng ngàn đơn hàng bị khiếu_nại thì hứa_hẹn hoàn_tiền nhưng cố_tình kéo_dài thời_gian cho khách_hàng nản để không phải hoàn làm lộ thông_tin cá_nhân khách_hàng spam otp và gọi điện quấy_nhiễu khách
"Lỗi không nhận xu cỉa shopee live do tài khoản hoạt động bất thường, trong khi chỉ xem không bình luận hay like, chia sẻ gì cả, bị 5 ngày báo shopee 2 lần nhưng không giải quyết và cũng không cho mình biết hoạt động bất thường chỗ nào vì lý do bảo mật, tài khoản mình hạng kim cương giờ xoá đi thì tiếc. Hiện tại không hiện xu shopee live để nhận luôn, các người xem khac bình luận có xu mình không thấy.",1,2026-05-14 23:46:42,0,1,lỗi không nhận xu_cỉa shopee live do tài_khoản hoạt_động bất_thường trong khi chỉ xem không bình_luận hay like chia_sẻ gì cả bị 5 ngày báo shopee 2 lần nhưng không giải_quyết và cũng không cho mình biết hoạt_động bất_thường chỗ nào vì lý_do bảo_mật tài_khoản mình hạng kim_cương giờ xóa đi thì tiếc hiện_tại không hiện xu_shopee live để nhận luôn các người xem khac bình_luận có xu mình không thấy
"mình hay mua mô hình hay Non-Lego.. Trước đó thì mấy con mini.. Giá 16k -> 20k thì giờ là 35k -> 45k. Mấy con chi tiết và có viền hay giáp thì.. Giá 35k -> 45k thì giờ là 65k -> 85k. mình nghe nói là do thuế, thuế tăng như thế này, thì đồng lương của lao động lại không tăng? CHÚ Ý, mn mua đồ nên chú ý giá cả, shop hiện đầu tiên chưa chắc giá tốt, tôi mua bột thông cống 260g 1 hũ 48k, trong khi đó shop có vài trăm lượt bán thì 1 hũ 260g có 18k900, 2 hũ có 35k, một sự trên lệch giá cả quá cao. 🤬",1,2026-05-13 18:08:36,652,1,mình hay mua mô_hình hay non_lego trước đó thì mấy con mini giá 16 k 20 k thì_giờ là 35 k 45 k mấy con chi_tiết và có viền hay giáp thì giá 35 k 45 k thì_giờ là 65 k 85 k mình nghe nói là do thuế thuế tăng như thế_này thì đồng_lương của lao_động lại không tăng chú_ý mn mua đồ nên chú_ý giá_cả shop hiện đầu_tiên chưa chắc giá tốt tôi mua bột thông cống 260 g 1 hũ 48 k trong khi đó shop có vài trăm lượt bán thì 1 hũ 260 g có 18 k900 2 hũ có 35 k một sự trên lệch giá_cả quá cao
"thực sự rất bực. Báo cho tôi là vi phạm tiêu chuẩn cộng đồng, ko thể nhân xu trong khi ngày5/5 tôi vẫn xem live và nhận xu bth thì hom nay lại tb tôi như thế. tôi nhắn chăm sóc khác hàng thì ko nhận đc gì ngoài xin lỗi và thông cảm, tôi coi live đúng thời lượng ko xài các thiết bị tinh vi nào hay hack để gian lận cả . coi live nhận xu là để áp đc và mua đc giá tốt hơn. tinh tưởng nền tảng nhưng lại giải quyết vấn đề chả ra sao, muốn bt lí do thì ko nói, vs lí do là bảo mật. LM ĂN CHÁN",1,2026-05-14 22:57:38,0,1,thực_sự rất bực_báo cho tôi là vi_phạm tiêu_chuẩn cộng_đồng ko_thể nhân_xu trong khi ngày5 5 tôi vẫn xem live và nhận xu_bth thì hom nay lại tb tôi như_thế tôi nhắn chăm_sóc khác hàng thì ko nhận đc gì ngoài xin_lỗi và thông_cảm tôi coi live đúng thời_lượng ko_xài các thiết_bị tinh_vi nào hay hack để gian_lận cả coi live nhận xu là để áp_đc và mua đc giá tốt hơn tinh_tưởng nền_tảng nhưng lại giải_quyết vấn_đề chả ra sao muốn bt lí_do thì ko nói vs_lí_do là bảo_mật lm ăn chán
"hỗ trợ quá kém, chậm và ko khắc phục đc yêu cầu của khách hàng, khách hàng phải đợi rất lâu mới connect đc vs nv,trong khi đó lại yêu cầu khách ko rep trong vòng 1p thì hủy connect???",1,2026-05-13 19:37:49,0,1,hỗ_trợ quá kém chậm và ko khắc_phục đc yêu_cầu của khách_hàng khách_hàng phải đợi rất lâu mới connect đc vs nv trong khi đó lại yêu_cầu khách ko_rep trong vòng 1 p thì hủy connect
mua hàng xong bên bán hàng thì lừa đảo. bên shopee thì không chịu lấy hàng để trả hàng. tóm lại mua rồi trả hàng không được. xóa áp,1,2026-05-13 11:51:38,0,1,mua hàng xong bên bán hàng thì lừa_đảo bên shopee thì không chịu lấy hàng để trả hàng tóm_lại mua rồi trả hàng_không được xóa_áp
"shope không bảo vệ quyền của người mua săn sale cố rồi shipper cho shope lấy hàng của khách luôn. không lẽ cứ đơn giá thấp là shipping có quyền lấy. còn gọi shope thì kêu bên shope không xử lý được tại bên shope không liên quan shipper, kỳ không bảo vệ được quyền lợi thì ai mua hàng trên shope nữa chính sách lạ shipper giao chả có thông tin thì lấy thông tin đâu ra đưa cho má nói chung càng ngày càng tệ",1,2026-05-13 15:05:17,0,1,shope không bảo_vệ quyền của người mua săn sale cố rồi shipper cho shope lấy hàng của khách luôn không_lẽ cứ đơn_giá thấp là shipping có quyền lấy còn gọi shope thì kêu bên shope không xử_lý được tại bên shope không liên_quan shipper_kỳ không bảo_vệ được quyền_lợi thì ai mua hàng trên shope nữa chính_sách lạ_shipper giao_chả có thông_tin thì lấy thông_tin đâu ra đưa cho má nói_chung càng_ngày_càng tệ
"không cho nhận xu live, nhờ nhân viên hỗ trợ nhưng lại không giải quyết.",1,2026-05-14 01:45:03,1,1,không cho nhận xu_live nhờ nhân_viên hỗ_trợ nhưng lại không giải_quyết
t 0 sao shopee 1 sao nhé tự nhiên đang dùng bth thì kcho lưu mã live,1,2026-05-12 23:19:34,1,1,t 0 sao shopee 1 sao nhé tự_nhiên đang dùng bth thì kcho lưu_mã live
Bán hàng xúc phạm Đức Phật không gỡ bỏ dù đã rất nhiều người báo cáo.,1,2026-05-14 19:55:55,0,1,bán hàng xúc_phạm đức_phật không gỡ bỏ dù đã rất nhiều người báo_cáo
hủy đơn hàng vì lí do giao dịch bất thường là sao v trời chán ko mún nói,1,2026-05-14 08:12:00,8,1,hủy đơn hàng vì lí_do giao_dịch bất_thường là sao v trời chán ko_mún nói
"đi đâu cũng gặp cái quảng cáo shoppe, khó chịu thật, quảng cáo cm j quảng cáo hoài, PHIỀN",1,2026-05-14 23:09:42,0,1,đi đâu cũng gặp cái quảng_cáo shoppe khó_chịu thật quảng_cáo cm_j quảng_cáo hoài_phiền
"Đặt hàng xong toàn hủy đơn, khoá tk. App gì tệ hơn chữ tệ",1,2026-05-12 21:27:54,0,1,đặt_hàng xong toàn hủy đơn khóa tk_app gì tệ hơn chữ tệ
"khi gửi đánh giá toàn báo lỗi sever, không nhận được xu khi xem live",2,2026-05-13 08:44:33,1,1,khi gửi đánh_giá toàn báo lỗi sever không nhận được xu khi xem live
"tự ý hủy hàng xong mất mã giảm giá , quá tệ",1,2026-05-13 11:56:35,0,1,tự_ý hủy hàng xong mất_mã giảm_giá quá tệ
Cài đặt phiên bản mới quá tệ mở áp mãi không vào được,1,2026-05-13 19:58:25,0,1,cài_đặt phiên_bản mới quá tệ mở_áp mãi không vào được
đơn hàng bị shiper tự hủy và k có trạng thái khắc phục,1,2026-05-14 16:45:00,0,1,đơn hàng bị shiper tự_hủy và k có trạng_thái khắc_phục
chịu bố shopee lag kinh khủng như kiểu dth nokia năm 90 ấy,1,2026-05-14 19:10:30,0,1,chịu bố shopee lag kinh_khủng như kiểu dth nokia năm 90 ấy
Đặt đơn báo về đến kho r xong k hiểu sao hoàn,1,2026-05-14 20:10:51,0,1,đặt đơn báo về đến kho r xong k hiểu sao hoàn
mấy hôm nay Shopee thay đổi phần thông báo.. lằng nhằng hơn giao diện cũ.. cứ như cũ cho dễ sử dụng,5,2026-05-14 18:50:36,911,0,mấy hôm_nay shopee thay_đổi phần thông_báo lằng_nhằng hơn giao_diện cũ cứ như cũ cho dễ sử_dụng
Shopee quá tệ.Tự ý hủy đơn khách hàng quá vô duyên.,1,2026-05-14 07:06:44,0,1,shopee quá tệ tự_ý hủy đơn khách_hàng quá vô_duyên
đặt hàng xog bị xoá tk không lí do??tht sự tệ.,1,2026-05-14 11:43:31,0,1,đặt_hàng xog bị xóa_tk không lí_do tht sự tệ
"m kêu t đánh giá nữa t cho m 1 sao á, mỗi tk chỉ đánh giá 1 lần 5 sao mà cứ hiển thị hoài hỏi là m m bực ko?",5,2026-05-13 21:00:12,0,0,m kêu t đánh_giá nữa t cho m 1 sao á mỗi tk chỉ đánh_giá 1 lần 5 sao mà cứ hiển_thị hoài hỏi là m m bực_ko
bị M02 hơn tháng rồi không mua được hàng 😡😡😡,1,2026-05-14 20:33:38,0,1,bị m02 hơn tháng rồi không mua được hàng
"Shopee bán hàng mua qua mạng rất uy tín, giao hàng đúng hẹn... nhưng các shop bán hàng thì shopee nên quan tâm nhiều hơn vì rất nhiều shop tạo video hàng rất tốt nhưng khi khách nhận là hàng nhái... tạo ra điều phiền toái... nếu hàng có giá trị nhỏ thì đành nhận. Rất hài lòng với shopee là nếu không hài lòng vì hàng nhận không đúng quảng cáo, trả hàng, sẽ được duyệt trả tiền ngay sau đó ít thời gian.",5,2026-05-14 10:11:14,1,0,shopee bán hàng mua qua mạng rất uy_tín giao hàng đúng hẹn nhưng các shop bán hàng thì shopee nên quan_tâm nhiều hơn vì rất nhiều shop tạo video hàng rất tốt nhưng khi khách nhận là hàng nhái tạo ra điều phiền_toái nếu hàng có giá_trị nhỏ thì đành nhận rất hài_lòng với shopee là nếu không hài_lòng vì hàng nhận không đúng quảng_cáo trả hàng sẽ được duyệt trả tiền ngay sau đó ít thời_gian
quay voucher ko trúng hết 5 lần là sao,1,2026-05-12 19:44:40,0,1,quay voucher ko trúng hết 5 lần là sao
Mẹ đổi có cái sdt mất luôn tài khoản,1,2026-05-13 20:52:47,0,1,mẹ đổi có cái sdt mất luôn tài_khoản
"Giao hàng nhanh, sản phẩm đúng yêu cầu. hàng chính hãng đúng thông tin mô tả. Ngày càng chuyên nghiệp. nhân viên giao hàng tận tâm vui vẻ. Thông tin được bổ sung vào 14 giờ ngày 14/5/2026 Càng sử dụng Shipper càng thấy thuận lợi trong sửa chữa thay thế các loại phụ kiện phụ tùng. Chỉ cần kiên trì vào Shopee tìm kiếm là giải quyết được những yêu cầu của gia đình về mùa sắm.",5,2026-05-13 14:27:32,130,0,giao ha ng nhanh sa_n phâ m đu_ng yêu câ u ha ng chi nh ha ng đu_ng thông_tin mô ta nga y_ca ng chuyên_nghiê p nhân_viên giao ha ng tâ n_tâm vui_ve thông_tin được bổ_sung vào 14 giờ ngày 14 5 2026 càng sử_dụng shipper càng thấy thuận_lợi trong sửa_chữa thay_thế các loại phụ_kiện phụ_tùng chỉ cần kiên_trì vào shopee tìm_kiếm là giải_quyết được những yêu_cầu của gia_đình về mùa sắm
ko tốt một tí nào Lazada dùng tốt hơn rõ ràng,1,2026-05-12 20:59:59,1,1,ko tốt một_tí nào lazada dùng tốt hơn rõ_ràng
tôi không thể sử dụng mã giảm giá của mình,1,2026-05-14 12:04:14,0,1,tôi không_thể sử_dụng mã giảm_giá của mình
mua hang xong toi ngay giao shop tu huy don,1,2026-05-13 19:21:45,0,1,mua hang xong toi ngay giao shop tu_huy don
Hàng bao gói cẩn thận. Giao hàng đúng hẹn. Bao bì đẹp. Về chất lượng chưa dùng nên chưa đánh giá được.,5,2026-05-14 13:57:46,0,0,hàng bao_gói cẩn_thận giao hàng đúng hẹn bao_bì đẹp về chất_lượng chưa dùng nên chưa đánh_giá được
"shopee rất tốt, tôi là khách hàng thân thiết của shopee, mong có thêm nhiều voucher ưu đãi từ shopee",5,2026-05-13 19:04:24,1,0,shopee rất tốt tôi là khách_hàng thân_thiết của shopee_mong có thêm nhiều voucher ưu_đãi từ shopee
k biết shipper có gọi hay k nhưng k nhận được đth của shipper nhưng app lại cập nhật trả hàng :))),5,2026-05-14 14:26:50,1,0,k biết shipper có gọi hay k nhưng k nhận được đth của shipper nhưng app lại cập_nhật trả hàng
"mình rất hài lòng với ứng dụng,mua hàng nhanh được nhiều ưu đãi",5,2026-05-15 06:57:25,0,0,mình rất hài_lòng với ứng_dụng mua hàng nhanh được nhiều ưu_đãi
"Ứng dụng tốt, dịch vụ chăm sóc khách hàng tốt, xử lý vấn đề nhanh",5,2026-05-12 21:51:00,1,0,ứng_dụng tốt dịch_vụ chăm_sóc khách_hàng tốt xử_lý vấn_đề nhanh
"bị văng ra ngoài, còn bị hủy đơn",1,2026-05-14 11:20:18,0,1,bị văng ra ngoài còn bị hủy đơn
giao nhanh chuẩn còn bền thì chưa biết,4,2026-05-14 21:23:53,0,0,giao nhanh chuẩn còn bền thì chưa biết
ứng dụng tốt uy tín và nhiều ưu đãi mình rất thích ạ,5,2026-05-14 07:03:09,0,0,ứng_dụng tốt uy_tín và nhiều ưu_đãi mình rất thích ạ
shopee thân thiện mua đc nhìu thứ có rất nhiều mã giảm giá,5,2026-05-14 17:58:49,0,0,shopee thân_thiện mua đc nhìu thứ có rất nhiều mã giảm_giá
App lỗi ko fix đc đểu,1,2026-05-13 22:02:11,0,1,app lỗi ko fix đc đểu
không bảo vệ người tieu dùng,1,2026-05-14 14:42:49,0,1,không bảo_vệ người tieu dùng
shipper ko giao hàng cho khách,1,2026-05-14 12:14:01,0,1,shipper ko giao hàng cho khách
vài tốt thoáng mát nha mn nên mua sẽ mua thêm mặc mua hè,5,2026-05-14 19:24:19,0,0,vài tốt thoáng mát_nha mn nên mua sẽ mua thêm mặc mua hè
book quảng cáo quá nhiều,1,2026-05-14 16:15:10,0,1,book quảng_cáo quá nhiều
ko ví đồ tui cần,1,2026-05-14 19:58:49,0,1,ko ví_đồ tui cần
ko áp dụng đc mã giảm giá,1,2026-05-13 08:28:48,0,1,ko áp_dụng đc_mã giảm_giá
nên cho tùy chọn tìm hàng cần mua bằng mic,5,2026-05-14 11:16:09,0,0,nên cho tùy chọn tìm hàng cần mua bằng mic
rút rồi ở đâu,4,2026-05-15 03:03:17,0,0,rút rồi ở đâu
ứng dụng giao hàng nhanh chóng chất lượng tốt,5,2026-05-14 12:50:11,0,0,ứng_dụng giao hàng nhanh_chóng chất_lượng tốt
tôi mong muốn spopee có nhiều đợt giảm giá nhiều hơn,5,2026-05-14 05:47:08,0,0,tôi mong_muốn spopee có nhiều đợt giảm_giá nhiều hơn
hàng của shop tốt! giá cả rẻ chất lượng,5,2026-05-13 15:17:13,1,0,hàng của shop tốt giá_cả rẻ chất_lượng
Rất tốt. Đáng tin cậy để mua sắm.,5,2026-05-14 11:55:25,0,0,rất tốt_đáng tin_cậy để mua_sắm
"tốc độ giao hàng nhanh , hỗ trợ trả hàng tốt",5,2026-05-14 03:21:34,0,0,tốc_độ giao hàng nhanh hỗ_trợ trả hàng tốt
shoppee cho xem hàng và cho thử hàng. tuyệt vời,5,2026-05-14 09:30:54,0,0,shoppee cho xem hàng và cho thử hàng tuyệt_vời
không hài lòng lắm nhưng cũng cho 5sao,5,2026-05-13 18:01:05,0,0,không hài_lòng lắm nhưng cũng cho 5 sao
rất ok và tiện lợi cho chúng ta,5,2026-05-14 21:36:23,0,0,rất ok và tiện_lợi cho chúng_ta
"good , nhiều mã giảm giá",5,2026-05-12 18:52:43,1,0,good nhiều mã giảm_giá
ok giao nhanh nhiều ưu đãi,5,2026-05-15 00:44:34,0,0,ok giao nhanh nhiều ưu_đãi
tôi thích mua sắm trên shopee,5,2026-05-14 23:16:21,0,0,tôi thích mua_sắm trên shopee
"ôi trời oiii, mê xỉuu💓",5,2026-05-13 19:04:50,0,0,ôi trời oiii_mê xỉuu
Quảng cáo nhiều,1,2026-05-14 19:30:17,0,1,quảng_cáo nhiều
"Very good,shopee luôn uy tín",5,2026-05-14 14:26:53,0,0,very good shopee luôn uy_tín
giao hàng tốt tôi rất hài lòng,5,2026-05-13 18:47:38,0,0,giao hàng tốt tôi rất hài_lòng
"tôt,uy tín",5,2026-05-13 12:12:02,0,0,tôt uy_tín
giá dễ mua.,5,2026-05-14 16:05:50,0,0,giá dễ mua
rất tuyệt vời🥰🥰,5,2026-05-14 17:16:25,0,0,rất tuyệt_vời
tốt,4,2026-05-12 20:39:28,1,0,tốt
OK shopee là nhất,5,2026-05-14 16:07:06,0,0,ok shopee là nhất
mua hàng dể dàng,5,2026-05-14 07:40:05,0,0,mua hàng dể_dàng
sản phẩm dùng OK,5,2026-05-15 08:40:59,0,0,sản_phẩm dùng ok
tôi không hiểu lắm,5,2026-05-13 13:28:41,0,0,tôi không hiểu lắm
app rất tốt,5,2026-05-14 20:01:49,0,0,app rất tốt
rất vừa ý,5,2026-05-13 09:04:05,0,0,rất vừa ý
dịch vụ tôt,5,2026-05-14 14:50:37,0,0,dịch_vụ tôt
ưng dung tôt,5,2026-05-13 13:03:32,0,0,ưng_dung tôt
Tuyêt !,5,2026-05-14 12:31:27,0,0,tuyêt
tệ,1,2026-05-14 19:56:37,0,1,tệ
ok,5,2026-05-13 10:50:08,0,0,ok
đc,5,2026-05-14 14:49:51,0,0,đc
ok,5,2026-05-14 15:45:06,0,0,ok
ổn,5,2026-05-13 20:38:47,0,0,ổn
ngon,5,2026-05-15 05:59:32,0,0,ngon
OK,5,2026-05-14 13:04:02,0,0,ok
ok,5,2026-05-13 19:01:51,0,0,ok
